IGOR
X NewDataFolder/S/O Graph1
X NewDataFolder/S data1
WAVES	Fit_125to491_y0
BEGIN
	0.3121078
	0.315173
	0.31776273
	0.31504065
	0.31298211
	0.31624907
	0.3126764
	0.31249225
	0.31275055
	0.31204894
	0.31491694
	0.31445798
	0.30956206
	0.3131761
	0.31343499
	0.31387648
	0.31453469
	0.31539533
	0.31588572
	0.31755799
	0.31777859
	0.31662756
	0.31500411
	0.31543311
	0.31654593
	0.3166897
	0.3169558
	0.31417042
	0.3189086
	0.31515667
	0.31783104
	0.31781232
	0.32001564
	0.3182953
	0.3190116
	0.31816912
	0.3150917
	0.31447476
	0.317424
	0.31654978
	0.31756359
	0.31446895
	0.31675959
	0.31761381
	0.31646201
	0.31585559
	0.3206597
	0.32009169
	0.31873482
	0.32071537
	0.32226241
	0.32253024
	0.31954169
	0.31962875
	0.32239285
	0.32435688
	0.32454869
	0.32731757
	0.33059478
	0.32753566
	0.32848644
	0.33246189
	0.33195162
	0.334447
	0.33611044
	0.34024686
	0.34030691
	0.34296295
	0.34328523
	0.34503043
	0.34380901
	0.34938473
	0.35624501
	0.36375245
	0.37297863
	0.38372889
	0.39318618
	0.41153377
	0.43038791
	0.45703581
	0.48982519
	0.54172909
	0.62613636
	0.77438998
	1.052778
	1.5339938
	2.140754
	2.4466298
	2.2316601
	1.7579533
	1.3316944
	1.0334661
	0.83640653
	0.71228141
	0.62737602
	0.56275296
	0.51982599
	0.49293476
	0.47702658
	0.47416627
	0.47957382
	0.49441099
	0.51605797
	0.54702395
	0.5893569
	0.63767552
	0.6790399
	0.69805676
	0.6848464
	0.64520228
	0.59231526
	0.55523014
	0.52315789
	0.50754505
	0.49472228
	0.48440132
	0.47716767
	0.46854961
	0.46598527
	0.45806575
	0.45213142
	0.44773337
	0.44253293
	0.43815064
	0.43488032
	0.43514404
	0.43599054
	0.43801782
	0.44346482
	0.44955304
	0.45576692
	0.46207058
	0.46508959
	0.46414763
	0.46334785
	0.4595077
	0.45814067
	0.45524868
	0.45152798
	0.4514032
	0.45419163
	0.45198622
	0.45362481
	0.45552161
	0.45806909
	0.45929602
	0.46466985
	0.46510306
	0.46725318
	0.47213283
	0.47630367
	0.47979847
	0.48173258
	0.48452097
	0.48682186
	0.48875505
	0.49004096
	0.48877737
	0.48946425
	0.49086395
	0.48686108
	0.48686469
	0.48579916
	0.48422292
	0.48526868
	0.48422426
	0.48533979
	0.48518488
	0.4863824
	0.48682135
	0.49034655
	0.4912433
	0.49176025
	0.49508679
	0.49793762
	0.50008512
	0.50095886
	0.50237155
	0.50541681
	0.50754917
	0.5085634
	0.51190984
	0.5145846
	0.51806909
	0.5191263
	0.52123874
	0.52223837
	0.52231592
	0.52274156
	0.52287173
	0.52598226
	0.52535176
	0.52948308
	0.5290795
	0.53115135
	0.53127033
	0.53397822
	0.53206962
	0.53541815
	0.53526431
	0.53509247
	0.53609771
	0.53878331
	0.53855628
	0.53928792
	0.53793442
	0.54194641
	0.54516459
	0.55208045
	0.55810648
	0.56574595
	0.57584065
	0.58723742
	0.60153359
	0.62264115
	0.65128881
	0.69219273
	0.76306009
	0.87152821
	1.0150782
	1.1260554
	1.1441787
	1.0748225
	0.9669323
	0.87381971
	0.80393434
	0.75240093
	0.71471453
	0.68572026
	0.66843313
	0.6556946
	0.64693403
	0.64138246
	0.64092249
	0.64684033
	0.65881777
	0.67146164
	0.67782509
	0.68898231
	0.70071799
	0.70643944
	0.7044093
	0.69941825
	0.69678062
	0.69029385
	0.68416888
	0.67882472
	0.67731768
	0.67376912
	0.67056322
	0.6706776
	0.66852248
	0.66329288
	0.66167235
	0.66085035
	0.65804297
	0.65655524
	0.65418345
	0.65399063
	0.65842026
	0.65592498
	0.66199899
	0.6605224
	0.66530037
	0.66977018
	0.66943276
	0.66947496
	0.66886687
	0.67509806
	0.67223513
	0.67349893
	0.6756587
	0.67565286
	0.67992717
	0.67913282
	0.6812194
	0.68111849
	0.67900151
	0.68195152
	0.68323481
	0.6856789
	0.68766308
	0.68419987
	0.68580955
	0.68668258
	0.68787974
	0.68914002
	0.68924707
	0.68452907
	0.6855225
	0.6848582
	0.68530566
	0.6834082
	0.68580639
	0.68323523
	0.67801917
	0.68358767
	0.6841023
	0.68584335
	0.68403643
	0.67940271
	0.68235922
	0.68341273
	0.68374127
	0.68340725
	0.68725222
	0.6892134
	0.69286883
	0.69238919
	0.69696558
	0.69500756
	0.68986654
	0.6917752
	0.69009691
	0.69371206
	0.69664758
	0.69176424
	0.68975991
	0.6928767
	0.69358069
	0.68922478
	0.69091475
	0.69016618
	0.69241625
	0.69162101
	0.6850068
	0.68175381
	0.68676001
	0.69063032
	0.68787706
	0.68315095
	0.68237704
	0.68630987
	0.68568319
	0.69291639
	0.69328898
	0.68922496
	0.69315279
	0.69259042
	0.69554579
	0.69261557
	0.68626511
	0.6789028
	0.67539918
	0.67641377
	0.66372722
	0.66276896
	0.66976124
	0.66729105
	0.67050433
	0.66852039
	0.66534197
	0.66271532
	0.66079283
	0.65931767
	0.66701728
	0.66245222
	0.65992355
	0.65751141
	0.65477651
	0.65165186
	0.65187031
	0.65079999
	0.64734572
	0.64760053
	0.64918387
	0.64845866
END
X SetScale/P x 925,0.15,"", Fit_125to491_y0; SetScale y 0,0,"", Fit_125to491_y0
X SetDataFolder ::
X Preferences 0
X	Display /W=(327,98.75,720,358.25) :data1:Fit_125to491_y0;DelayUpdate
X	Cursor/P A Fit_125to491_y0 79;Cursor/P B Fit_125to491_y0 97;DelayUpdate
X	ShowInfo;DelayUpdate
X SetDataFolder ::
X Preferences 1
X KillStrings S_waveNames
